ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb
ELI BB Equity,BE0003822393,Elia Group SA/NV,Utilities,0.0005525700000000001,29.408729,100.0,2024-03-31,ELI BB
ANA SQ Equity,ES0125220311,Acciona SA,Utilities,0.00052342,24.685494,112.85,2024-03-31,ANA SQ
WLN FP Equity,FR0011981968,Worldline SA/France,Financials,0.00051882,240.528734,11.48,2024-03-31,WLN FP
OCI NA Equity,NL0010558797,OCI NV,Materials,0.00050329,105.498824,25.39,2024-03-31,OCI NA
GRF SQ Equity,ES0171996087,Grifols SA,Health Care,0.00046732,298.290859,8.338,2024-03-31,GRF SQ
COV FP Equity,FR0000064578,Covivio SA/France,Real Estate,0.00045263,50.503195,47.7,2024-03-31,COV FP
TIT IM Equity,IT0003497168,Telecom Italia SpA/Milano,Communication Services,0.00042143,9964.153222,0.2251,2024-03-31,TIT IM
RCO FP Equity,FR0000130395,Remy Cointreau SA,Consumer Staples,0.00040493,23.063836,93.44,2024-03-31,RCO FP
DIA IM Equity,IT0003492391,DiaSorin SpA,Health Care,0.00037634,22.379303,89.5,2024-03-31,DIA IM
JDEP NA Equity,NL0014332678,JDE Peet's NV,Consumer Staples,0.00035645999999999996,97.489171,19.46,2024-03-31,JDEP NA
SAP GY Equity,DE0007164600,SAP SE,Information Technology,0.046543520000000005,1044.228597,244.4,2025-03-31,SAP GY
ASML NA Equity,NL0010273215,ASML Holding NV,Information Technology,0.04352557,393.830577,606.0,2025-03-31,ASML NA
SIE GY Equity,DE0007236101,Siemens AG,Industrials,0.02937021,760.0,211.9,2025-03-31,SIE GY
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,0.02869195,275.187935,571.7,2025-03-31,MC FP
ALV GY Equity,DE0008404005,Allianz SE,Financials,0.02479724,386.166676,352.1,2025-03-31,ALV GY
TTE FP Equity,FR0000120271,TotalEnergies SE,Energy,0.023478989999999998,2157.911695,59.66,2025-03-31,TTE FP
DTE GY Equity,DE0005557508,Deutsche Telekom AG,Communication Services,0.02178375,3490.521017,34.22,2025-03-31,DTE GY
SAN FP Equity,FR0000120578,Sanofi SA,Health Care,0.02113051,1136.810449,101.92,2025-03-31,SAN FP
SU FP Equity,FR0000121972,Schneider Electric SE,Industrials,0.021018340000000003,546.850092,210.75,2025-03-31,SU FP
AI FP Equity,FR0000120073,Air Liquide SA,Materials,0.01847015,578.259263,175.14,2025-03-31,AI FP
AIR FP Equity,NL0000235190,Airbus SE,Industrials,0.017640279999999998,594.212762,162.78,2025-03-31,AIR FP
SAN SQ Equity,ES0113900J37,Banco Santander SA,Financials,0.017122139999999998,15152.492322,6.196,2025-03-31,SAN SQ
SAF FP Equity,FR0000073272,Safran SA,Industrials,0.01589228,360.087699,242.0,2025-03-31,SAF FP
IBE SQ Equity,ES0144580Y14,Iberdrola SA,Utilities,0.01587548,5826.581519,14.94,2025-03-31,IBE SQ
OR FP Equity,FR0000120321,L'Oreal SA,Consumer Staples,0.01503398,240.440376,342.85,2025-03-31,OR FP
EL FP Equity,FR0000121667,EssilorLuxottica SA,Health Care,0.014393769999999998,297.379681,265.4,2025-03-31,EL FP
