ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw,sector_pct_rank,in_esg_universe
FER SQ Equity,NL0015001FS8,Ferrovial SE,Industrials,0.00305765,509.210283,28.97,2023-06-30,FER SQ,FER SQ,FER SM,FER SM,12.63197897,0.16216216216216217,True
SHL GY Equity,DE000SHL1006,Siemens Healthineers AG,Health Care,0.00303126,282.0,51.86,2023-06-30,SHL GY,SHL GY,SHL GR,SHL GR,12.54966307,0.47619047619047616,False
UPM FH Equity,FI0009005987,UPM-Kymmene Oyj,Materials,0.0030168499999999,533.735699,27.27,2023-06-30,UPM FH,UPM FH,UPM FH,UPM FH,10.25436359,0.47058823529411764,False
HO FP Equity,FR0000121329,Thales SA,Industrials,0.00298896,105.10507,137.2,2023-06-30,HO FP,HO FP,HO FP,HO FP,10.28814063,0.6756756756756757,False
KYGA ID Equity,IE0004906560,Kerry Group PLC,Consumer Staples,0.00295244,159.367073,89.38,2023-06-30,KYGA ID,KYGA ID,KYGA ID,KYGA ID,10.72783626,0.6875,False
ACA FP Equity,FR0000045072,Credit Agricole SA,Financials,0.00272751,1210.36094,10.872,2023-06-30,ACA FP,ACA FP,ACA FP,ACA FP,13.05721631,0.0975609756097561,True
EDP PL Equity,PTEDP0AM0009,EDP SA,Utilities,0.00271722,2928.815137,4.476,2023-06-30,EDP PL,EDP PL,EDP PL,EDP PL,10.9785371,0.631578947368421,False
MONC IM Equity,IT0004965148,Moncler SpA,Consumer Discretionary,0.00270412,205.970755,63.34,2023-06-30,MONC IM,MONC IM,MONC IM,MONC IM,15.9091832,0.038461538461538464,True
P911 GY Equity,DE000PAG9113,Dr Ing hc F Porsche AG,Consumer Discretionary,0.00268486,113.875,113.75,2023-06-30,P911 GY,P911 GY,P911 GR,P911 GR,8.765428966,0.8076923076923077,False
VNA GY Equity,DE000A1ML7J1,Vonovia SE,Real Estate,0.00265673,716.264997,17.895,2023-06-30,VNA GY,VNA GY,VNA GR,VNA GR,10.50684144,0.8571428571428571,False
SY1 GY Equity,DE000SYM9999,Symrise AG,Materials,0.0026427,132.783451,96.02,2023-06-30,SY1 GY,SY1 GY,SY1 GR,SY1 GR,9.393099434,0.8235294117647058,False
AKZA NA Equity,NL0013267909,Akzo Nobel NV,Materials,0.0026395,170.428331,74.72,2023-06-30,AKZA NA,AKZA NA,AKZA NA,AKZA NA,10.88348608,0.29411764705882354,True
MTX GY Equity,DE000A0D9PT0,MTU Aero Engines AG,Industrials,0.00263568,53.563632,237.4,2023-06-30,MTX GY,MTX GY,MTX GR,MTX GR,10.16023758,0.7027027027027027,False
HEN3 GY Equity,DE0006048432,Henkel AG & Co KGaA,Consumer Staples,0.0025701,169.254731,73.26,2023-06-30,HEN3 GY,HEN3 GY,HEN3 GR,HEN3 GR,10.83617883,0.625,False
BEI GY Equity,DE0005200000,Beiersdorf AG,Consumer Staples,0.00253329,100.8,121.25,2023-06-30,BEI GY,BEI GY,BEI GR,BEI GR,8.794176643,0.9375,False
MT NA Equity,LU1598757687,ArcelorMittal SA,Materials,0.00249475,482.795375,24.93,2023-06-30,MT NA,MT NA,MT NA,MT NA,7.211210813,1.0,False
HNR1 GY Equity,DE0008402215,Hannover Rueck SE,Financials,0.00242903,60.298567,194.35,2023-06-30,HNR1 GY,HNR1 GY,HNR1 GR,HNR1 GR,10.14199007,0.7804878048780488,False
AENA SQ Equity,ES0105046009,Aena SME SA,Industrials,0.00230073,75.0,148.0,2023-06-30,AENA SQ,AENA SQ,AENA SM,AENA SM,15.79571269,0.02702702702702703,True
EBS AV Equity,AT0000652011,Erste Group Bank AG,Financials,0.00228701,343.84,32.09,2023-06-30,EBS AV,EBS AV,EBS AV,EBS AV,10.59439338,0.7317073170731707,False
BNR GY Equity,DE000A1DAHH0,Brenntag SE,Industrials,0.00228649,154.5,71.4,2023-06-30,BNR GY,BNR GY,BNR GR,BNR GR,11.21095779,0.4594594594594595,False
TRN IM Equity,IT0003242622,Terna - Rete Elettrica Nazionale,Utilities,0.00227648,1406.9944,7.806,2023-06-30,TRN IM,TRN IM,TRN IM,TRN IM,13.03873361,0.21052631578947367,True
RHM GY Equity,DE0007030009,Rheinmetall AG,Industrials,0.00226436,43.55885,250.8,2023-06-30,RHM GY,RHM GY,RHM GR,RHM GR,10.39231276,0.6216216216216216,False
HEI GY Equity,DE0006047004,Heidelberg Materials AG,Materials,0.00225728,144.818925,75.2,2023-06-30,HEI GY,HEI GY,HEI GR,HEI GR,11.34957487,0.23529411764705882,True
CBK GY Equity,DE000CBK1001,Commerzbank AG,Financials,0.00223952,1064.503989,10.15,2023-06-30,CBK GY,CBK GY,CBK GR,CBK GR,8.128767262,0.926829268292683,False
FRE GY Equity,DE0005785604,Fresenius SE & Co KGaA,Health Care,0.00222134,422.427958,25.37,2023-06-30,FRE GY,FRE GY,FRE GR,FRE GR,13.9734559,0.19047619047619047,True
