ticker,ID_ISIN,name,GICS_SECTOR_NAME,weight,shares,price,snapshot_date,ticker_bb,ticker_base,ticker_alt,merge_key,esg_score_raw
GALP PL Equity,PTGAL0AM0009,Galp Energia SGPS SA,Energy,0.0012336,454.21922,13.34,2023-12-29,GALP PL,GALP PL,GALP PL,GALP PL,10.75048232
RED SQ Equity,ES0173093024,Redeia Corp SA,Utilities,0.00123184,405.81,14.91,2023-12-29,RED SQ,RED SQ,RED SM,RED SM,13.01039182
LDO IM Equity,IT0003856405,Leonardo SpA,Industrials,0.00123055,404.705277,14.935,2023-12-29,LDO IM,LDO IM,LDO IM,LDO IM,10.8505103
ELISA FH Equity,FI0009007884,Elisa Oyj,Communication Services,0.00121245,142.234812,41.87,2023-12-29,ELISA FH,ELISA FH,ELISA FH,ELISA FH,9.478951142
GET FP Equity,FR0010533075,Getlink SE,Industrials,0.00120565,357.5,16.565,2023-12-29,GET FP,GET FP,GET FP,GET FP,9.540655401
LEG GY Equity,DE000LEG1110,LEG Immobilien SE,Real Estate,0.00119677,74.109276,79.32,2023-12-29,LEG GY,LEG GY,LEG GR,LEG GR,14.60129062
ELE SQ Equity,ES0130670112,Endesa SA,Utilities,0.00119372,317.625635,18.46,2023-12-29,ELE SQ,ELE SQ,ELE SM,ELE SM,13.26065166
FORTUM FH Equity,FI0009007132,Fortum Oyj,Utilities,0.00119286,448.632233,13.06,2023-12-29,FORTUM FH,FORTUM FH,FORTUM FH,FORTUM FH,10.84353929
OMV AV Equity,AT0000743059,OMV AG,Energy,0.00119243,147.272727,39.77,2023-12-29,OMV AV,OMV AV,OMV AV,OMV AV,11.73272149
BAMI IM Equity,IT0005218380,Banco BPM SpA,Financials,0.00117985,1212.145701,4.781,2023-12-29,BAMI IM,BAMI IM,BAMI IM,BAMI IM,13.05721631
VER AV Equity,AT0000746409,Verbund AG,Utilities,0.00116519,68.093474,84.05,2023-12-29,VER AV,VER AV,VER AV,VER AV,12.13375879
EDPR PL Equity,ES0127797019,EDP Renovaveis SA,Utilities,0.00115858,307.19343,18.525,2023-12-29,EDPR PL,EDPR PL,EDPR PL,EDPR PL,10.9785371
PST IM Equity,IT0003796171,Poste Italiane SpA,Financials,0.00109289,522.444,10.275,2023-12-29,PST IM,PST IM,PST IM,PST IM,9.40771319
CPR IM Equity,NL0015435975,Davide Campari-Milano NV,Consumer Staples,0.00108708,522.72,10.215,2023-12-29,CPR IM,CPR IM,CPR IM,CPR IM,11.26300546
PUM GY Equity,DE0006969603,Puma SE,Consumer Discretionary,0.00108589,105.577248,50.52,2023-12-29,PUM GY,PUM GY,PUM GR,PUM GR,11.15506326
LI FP Equity,FR0000121964,Klepierre SA,Real Estate,0.00108102,215.145879,24.68,2023-12-29,LI FP,LI FP,LI FP,LI FP,13.35243086
BMW3 GY Equity,DE0005190037,Bayerische Motoren Werke AG,Consumer Discretionary,0.0010789999999999,58.920408,89.95,2023-12-29,BMW3 GY,BMW3 GY,BMW3 GR,BMW3 GR,
UMI BB Equity,BE0974320526,Umicore SA,Materials,0.00106173,209.44,24.9,2023-12-29,UMI BB,UMI BB,UMI BB,UMI BB,9.740900755
REC IM Equity,IT0003828271,Recordati Industria Chimica e Farmaceutica SpA,Health Care,0.00103948,104.562578,48.83,2023-12-29,REC IM,REC IM,REC IM,REC IM,8.232233379
GFC FP Equity,FR0010040865,Gecina SA,Real Estate,0.00103051,45.973915,110.1,2023-12-29,GFC FP,GFC FP,GFC FP,GFC FP,11.95850405
WDP BB Equity,BE0974349814,Warehouses De Pauw CVA,Real Estate,0.00101857,175.547047,28.5,2023-12-29,WDP BB,WDP BB,WDP BB,WDP BB,9.87912468
KESKOB FH Equity,FI0009000202,Kesko Oyj,Consumer Staples,0.00099675,273.13098,17.925,2023-12-29,KESKOB FH,KESKOB FH,KESKOB FH,KESKOB FH,14.15601995
LHA GY Equity,DE0008232125,Deutsche Lufthansa AG,Industrials,0.00098032,598.309174,8.048,2023-12-29,LHA GY,LHA GY,LHA GR,LHA GR,9.114428088
G24 GY Equity,DE000A12DM80,Scout24 SE,Communication Services,0.00097967,75.0,64.16,2023-12-29,G24 GY,G24 GY,G24 GR,G24 GR,
ZAL GY Equity,DE000ZAL1111,Zalando SE,Consumer Discretionary,0.00097905,224.194335,21.45,2023-12-29,ZAL GY,ZAL GY,ZAL GR,ZAL GR,11.12447904
GRF SQ Equity,ES0171996087,Grifols SA,Health Care,0.00093856,298.290859,15.455,2023-12-29,GRF SQ,GRF SQ,GRF SM,GRF SM,19.57778878
NEM GY Equity,DE0006452907,Nemetschek SE,Information Technology,0.00092271,57.75,78.48,2023-12-29,NEM GY,NEM GY,NEM GR,NEM GR,10.155623
DHER GY Equity,DE000A2E4K43,Delivery Hero SE,Consumer Discretionary,0.00089579,175.929323,25.01,2023-12-29,DHER GY,DHER GY,DHER GR,DHER GR,8.495688018
NEXI IM Equity,IT0005366767,Nexi SpA,Financials,0.00089043,590.557737,7.406,2023-12-29,NEXI IM,NEXI IM,NEXI IM,NEXI IM,9.544333761
EVK GY Equity,DE000EVNK013,Evonik Industries AG,Materials,0.00087757,233.0,18.5,2023-12-29,EVK GY,EVK GY,EVK GR,EVK GR,12.33999328
KBX GY Equity,DE000KBX1006,Knorr-Bremse AG,Industrials,0.00086838,72.54,58.8,2023-12-29,KBX GY,KBX GY,KBX GR,KBX GR,12.39505928
ORNBV FH Equity,FI0009014377,Orion Oyj,Health Care,0.00086102,107.695896,39.27,2023-12-29,ORNBV FH,ORNBV FH,ORNBV FH,ORNBV FH,8.068464416
TLX GY Equity,DE000TLX1005,Talanx AG,Financials,0.0008497,64.557248,64.65,2023-12-29,TLX GY,TLX GY,TLX GR,TLX GR,12.17599368
BOL FP Equity,FR0000039299,Bollore SE,Communication Services,0.00084942,737.793594,5.655,2023-12-29,BOL FP,BOL FP,BOL FP,BOL FP,6.304585248
BIM FP Equity,FR0013280286,BioMerieux,Health Care,0.00084846,41.426427,100.6,2023-12-29,BIM FP,BIM FP,BIM FP,BIM FP,9.42846373
IPN FP Equity,FR0010259150,Ipsen SA,Health Care,0.00082853,37.716537,107.9,2023-12-29,IPN FP,IPN FP,IPN FP,IPN FP,9.504445403
ADP FP Equity,FR0010340141,Aeroports de Paris SA,Industrials,0.0008264399999999,34.636211,117.2,2023-12-29,ADP FP,ADP FP,ADP FP,ADP FP,11.42913194
AFX GY Equity,DE0005313704,Carl Zeiss Meditec AG,Health Care,0.0008099,40.248257,98.84,2023-12-29,AFX GY,AFX GY,AFX GR,AFX GR,7.237985025
AMP IM Equity,IT0004056880,Amplifon SpA,Health Care,0.00079446,124.513741,31.34,2023-12-29,AMP IM,AMP IM,AMP IM,AMP IM,8.942220748
INW IM Equity,IT0005090300,Infrastrutture Wireless Italiane SpA,Communication Services,0.0007834099999999,336.07,11.45,2023-12-29,INW IM,INW IM,INW IM,INW IM,9.372408143
DIE BB Equity,BE0974259880,D'ieteren Group,Consumer Discretionary,0.0007737299999999,21.4836,176.9,2023-12-29,DIE BB,DIE BB,DIE BB,DIE BB,8.93891889
